Valeurs lues      : 67584
Timestamps lus    : 68096
Date: 2026-05-04 14:37:41 | Valeur: -11613
Date: 2026-05-04 14:37:41 | Valeur: -13274
Date: 2026-05-04 14:37:41 | Valeur: -13791
Date: 2026-05-04 14:37:41 | Valeur: -13872
Date: 2026-05-04 14:37:41 | Valeur: -12677
Date: 2026-05-04 14:37:41 | Valeur: -14523
Date: 2026-05-04 14:37:41 | Valeur: -14066
Date: 2026-05-04 14:37:41 | Valeur: -13297
Date: 2026-05-04 14:37:41 | Valeur: -14577
Date: 2026-05-04 14:37:41 | Valeur: -17041
Date: 2026-05-04 14:37:41 | Valeur: -14136
Date: 2026-05-04 14:37:41 | Valeur: -13770
Date: 2026-05-04 14:37:41 | Valeur: -13760
Date: 2026-05-04 14:37:41 | Valeur: -12340
Date: 2026-05-04 14:37:41 | Valeur: -11991
Date: 2026-05-04 14:37:41 | Valeur: -13846
Date: 2026-05-04 14:37:41 | Valeur: -13504
Date: 2026-05-04 14:37:41 | Valeur: -12722
Date: 2026-05-04 14:37:41 | Valeur: -13925
Date: 2026-05-04 14:37:41 | Valeur: -11543
Date: 2026-05-04 14:37:41 | Valeur: -10013
Date: 2026-05-04 14:37:41 | Valeur: -13991
Date: 2026-05-04 14:37:41 | Valeur: -12603
Date: 2026-05-04 14:37:41 | Valeur: -15070
Date: 2026-05-04 14:37:41 | Valeur: -13155
Date: 2026-05-04 14:37:41 | Valeur: -11501
Date: 2026-05-04 14:37:41 | Valeur: -11096
Date: 2026-05-04 14:37:41 | Valeur: -16808
Date: 2026-05-04 14:37:41 | Valeur: -16780
Date: 2026-05-04 14:37:41 | Valeur: -12798
Date: 2026-05-04 14:37:41 | Valeur: -10705
Date: 2026-05-04 14:37:41 | Valeur: -14294
Date: 2026-05-04 14:37:41 | Valeur: -13481
Date: 2026-05-04 14:37:41 | Valeur: -12402
Date: 2026-05-04 14:37:41 | Valeur: -11552
Date: 2026-05-04 14:37:41 | Valeur: -13960
Date: 2026-05-04 14:37:41 | Valeur: -13798
Date: 2026-05-04 14:37:41 | Valeur: -12763
Date: 2026-05-04 14:37:41 | Valeur: -13581
Date: 2026-05-04 14:37:41 | Valeur: -14190
Date: 2026-05-04 14:37:41 | Valeur: -11882
Date: 2026-05-04 14:37:41 | Valeur: -13210
Date: 2026-05-04 14:37:41 | Valeur: -9631
Date: 2026-05-04 14:37:41 | Valeur: -13678
Date: 2026-05-04 14:37:41 | Valeur: -13214
Date: 2026-05-04 14:37:41 | Valeur: -14356
Date: 2026-05-04 14:37:41 | Valeur: -11033
Date: 2026-05-04 14:37:41 | Valeur: -14103
Date: 2026-05-04 14:37:41 | Valeur: -14185
Date: 2026-05-04 14:37:41 | Valeur: -11749
Date: 2026-05-04 14:37:41 | Valeur: -13504
Date: 2026-05-04 14:37:41 | Valeur: -14794
Date: 2026-05-04 14:37:41 | Valeur: -14019
Date: 2026-05-04 14:37:41 | Valeur: -13142
Date: 2026-05-04 14:37:41 | Valeur: -11127
Date: 2026-05-04 14:37:41 | Valeur: -10632
Date: 2026-05-04 14:37:41 | Valeur: -12815
Date: 2026-05-04 14:37:41 | Valeur: -12183
Date: 2026-05-04 14:37:41 | Valeur: -12585
Date: 2026-05-04 14:37:41 | Valeur: -14769
Date: 2026-05-04 14:37:41 | Valeur: -14426
Date: 2026-05-04 14:37:41 | Valeur: -15013
Date: 2026-05-04 14:37:41 | Valeur: -12026
Date: 2026-05-04 14:37:41 | Valeur: -13323
Date: 2026-05-04 14:37:41 | Valeur: -13614
Date: 2026-05-04 14:37:41 | Valeur: -12968
